"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000163083",521.38643026355,-2.44689812816031,0.164335029580872,2.20638453769683e-51,7.01189006080054e-48,"INHBB","inhibin subunit beta B"
"ENSG00000101825",172.331471201154,-4.75364312066567,0.339272376864526,1.37884255449247e-45,2.19098081908854e-42,"MXRA5","matrix remodeling associated 5"
"ENSG00000204386",278.750129833239,-2.60779421759736,0.208792177032018,4.83622227927153e-37,5.12317146784164e-34,"NEU1","neuraminidase 1"
"ENSG00000163347",1518.00527569215,2.01899510806288,0.165549729980317,1.98280584275782e-35,1.57533924207109e-32,"CLDN1","claudin 1"
"ENSG00000180543",136.521952434262,-3.29262029220149,0.278722603072401,2.15540314210711e-33,1.36997423712328e-30,"TSPYL5","TSPY like 5"
"ENSG00000147394",230.240819134538,-2.3008028553626,0.209991637375163,3.455871285678e-29,1.83045982431411e-26,"ZNF185","zinc finger protein 185 with LIM domain"
"ENSG00000112175",114.327878296939,-3.64252014487992,0.33441682659336,8.06739561655013e-29,3.66259760991376e-26,"BMP5","bone morphogenetic protein 5"
"ENSG00000164741",488.829128895829,-1.53274228250142,0.154987132154719,3.22858756256027e-24,1.28255640922707e-21,"DLC1","DLC1 Rho GTPase activating protein"
"ENSG00000187772",136.243113741551,-3.97180611962196,0.409169712597333,1.40447678370104e-23,4.95936357622435e-21,"LIN28B","lin-28 RNA binding posttranscriptional regulator B"
"ENSG00000118523",1939.4338635156,-1.14582698303259,0.120747551036311,2.08124570982322e-22,6.61419886581821e-20,"CCN2","cellular communication network factor 2"
"ENSG00000124145",3327.15902988983,1.15049401356298,0.122287631722286,4.66213427284601e-22,1.34693297446406e-19,"SDC4","syndecan 4"
"ENSG00000125266",131.466796421074,-2.45134238968858,0.267123876140484,2.41546594046525e-21,6.39695896566546e-19,"EFNB2","ephrin B2"
"ENSG00000161011",21226.6869625972,1.19099105115518,0.128898952007587,2.71033716538683e-21,6.62573193199951e-19,"SQSTM1","sequestosome 1"
"ENSG00000130513",2668.51689545711,1.49723530411038,0.164040363308173,5.14967022733894e-21,1.16897514160594e-18,"GDF15","growth differentiation factor 15"
"ENSG00000242732",242.230917451049,1.90411069689011,0.212109983250026,1.75693073233597e-20,3.72235057824247e-18,"RTL5","retrotransposon Gag like 5"
"ENSG00000144583",469.719179753967,-1.40886497941872,0.157274798140367,2.45633062638417e-20,4.87888670665556e-18,"MARCHF4","membrane associated ring-CH-type finger 4"
"ENSG00000148677",155.034119760035,-2.36652542961207,0.266103999930212,3.4753353310013e-20,6.49683275407184e-18,"ANKRD1","ankyrin repeat domain 1"
"ENSG00000164690",221.198588666033,-1.93428418294396,0.221351407546149,1.30187588206435e-19,2.2985341962225e-17,"SHH","sonic hedgehog signaling molecule"
"ENSG00000136928",132.985206356897,-2.07420792895353,0.24929748051898,5.55505487737615e-18,9.29156021068495e-16,"GABBR2","gamma-aminobutyric acid type B receptor subunit 2"
"ENSG00000115616",331.870484859771,1.46826726076709,0.178309973266043,1.28442296208086e-17,2.04094808674649e-15,"SLC9A2","solute carrier family 9 member A2"
"ENSG00000261796",982.824855217095,1.3714676403028,0.170653868973732,7.06675852856532e-17,1.06943612398955e-14,"ISY1-RAB43","ISY1-RAB43 readthrough"
"ENSG00000144227",53.9256035937277,-3.53348728138214,0.454309656217613,5.39210559934382e-16,7.78914163396121e-14,"NXPH2","neurexophilin 2"
"ENSG00000114638",49.8224392974395,-3.75170822685427,0.48910213975761,1.16536529602737e-15,1.48141236431e-13,"UPK1B","uroplakin 1B"
"ENSG00000133639",957.734258891211,1.3055947379559,0.16976643262583,1.14338997049086e-15,1.48141236431e-13,"BTG1","BTG anti-proliferation factor 1"
"ENSG00000272398",52.6337801780213,-3.48208891273264,0.454751248014513,1.08498670434223e-15,1.48141236431e-13,"CD24","CD24 molecule"
"ENSG00000173705",215.443764230356,-1.56064640286396,0.210909520074626,8.87309099232699e-15,1.08456473744674e-12,"SUSD5","sushi domain containing 5"
"ENSG00000138495",1230.67088770221,1.17029735604131,0.158173651238899,1.20849530249739e-14,1.42244373012471e-12,"COX17","cytochrome c oxidase copper chaperone COX17"
"ENSG00000204767",185.776873138819,-1.58308222574034,0.216215119406464,1.64634132672135e-14,1.86531872800658e-12,"INSYN2B","inhibitory synaptic factor family member 2B"
"ENSG00000265972",120.170871356746,1.86154394157259,0.254594665979872,1.70214736035843e-14,1.86531872800658e-12,"TXNIP","thioredoxin interacting protein"
"ENSG00000116574",360.36718385449,1.49213915178041,0.204792546596556,2.25802501411106e-14,2.39200116494832e-12,"RHOU","ras homolog family member U"
"ENSG00000165757",1368.30912699324,-1.02313349500104,0.140325406959204,3.04516375869425e-14,3.12178400810655e-12,"JCAD","junctional cadherin 5 associated"
"ENSG00000111885",265.909368646631,1.54133393223485,0.216965261229327,8.33866445401869e-14,8.28133613589731e-12,"MAN1A1","mannosidase alpha class 1A member 1"
