.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR33705621_1	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR33705621_2	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR33705622_1	1	1	0.25	1	0.25	1	1	1	0.25	1	1
SRR33705622_2	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR33705623_1	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR33705623_2	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR33705624_1	1	1	0.25	1	0.25	1	1	1	0.5	1	1
SRR33705624_2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR33705625_1	1	1	0.25	1	0.25	1	1	1	0.5	1	1
SRR33705625_2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR33705626_1	1	1	0.5	1	0.25	1	1	1	0.25	1	1
SRR33705626_2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
