Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR33705621_1 - illumina_universal_adapter	(1, 3.982788688455294e-05)	(2, 8.408109453405621e-05)	(3, 0.00024339264207226796)	(4, 0.0007611551715714562)	(5, 0.0009647199267591712)	(6, 0.0012523657764809423)	(7, 0.0014736318147284587)	(8, 0.001748001702155379)	(9, 0.0019427158158131935)	(10, 0.0035225553289004604)	(15, 0.007900967693742314)	(20, 0.013915863677462798)	(25, 0.01812257359662458)	(30, 0.021053021007174683)	(35, 0.02342941825795301)	(40, 0.02628463521549896)	(45, 0.02972930489893629)	(50, 0.033869635006623815)	(55, 0.039332250958878504)	(60, 0.046546408869900524)	(65, 0.05598915831815153)	(70, 0.06858804653596512)	(75, 0.08598752271959681)	(80, 0.10889829338389763)	(85, 0.1399012055989866)	(90, 0.18180899324306626)	(95, 0.23816368305640268)	(100, 0.31122484382157956)	(105, 0.404105246164663)	(110, 0.5223312306569229)	(115, 0.672170821629835)	(120, 0.8586423328308529)	(125, 1.0869012629511439)	(130, 1.3626739770605532)	(135, 1.6920355555052051)	(140, 1.9139512308410163)
SRR33705621_1 - polya	(1, 0.004035892537634698)	(2, 0.008509891830999478)	(3, 0.011346522441332638)	(4, 0.017688007097506456)	(5, 0.021462805710009084)	(6, 0.02464903666077332)	(7, 0.028273374367267637)	(8, 0.035190150722885)	(9, 0.044956833651130367)	(10, 0.06289796909639198)	(15, 0.0898986212116599)	(20, 0.11827554808482739)	(25, 0.14700384542673192)	(30, 0.17078905947418693)	(35, 0.19206157639130314)	(40, 0.2147537362098154)	(45, 0.2373051708280023)	(50, 0.25899012764041185)	(55, 0.28471097699045617)	(60, 0.30563831888790627)	(65, 0.3286570673788719)	(70, 0.35225376276174003)	(75, 0.3761053566206693)	(80, 0.39877273464289786)	(85, 0.4290029858524266)	(90, 0.45830303463716265)	(95, 0.4865215350269449)	(100, 0.5093030863249093)	(105, 0.5308234212048626)	(110, 0.5518587409289776)	(115, 0.572313458568731)	(120, 0.5936213780519667)	(125, 0.6176446743565761)	(130, 0.6413635085925569)	(135, 0.6633175249074753)	(140, 0.6759633215253974)
SRR33705621_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.039456159940297116)	(4, 0.04624017667296596)	(5, 0.04899715150953002)	(6, 0.050714175966330745)	(7, 0.05207717476193544)	(8, 0.05305074533022452)	(9, 0.05404644250233834)	(10, 0.055990043382304525)	(15, 0.05772830937877701)	(20, 0.05872135135843186)	(25, 0.05967279532289619)	(30, 0.06071009051020054)	(35, 0.06197573224897633)	(40, 0.06389897665342374)	(45, 0.06600454427338712)	(50, 0.06827827408241859)	(55, 0.07050952081210654)	(60, 0.0736922115062588)	(65, 0.0783618099774344)	(70, 0.0825145309832638)	(75, 0.08606894862167189)	(80, 0.09024468129547902)	(85, 0.09588873539909668)	(90, 0.10236917512728994)	(95, 0.10914699641088783)	(100, 0.11481140699002426)	(105, 0.12039262153877961)	(110, 0.12750942239297275)	(115, 0.13599099217107652)	(120, 0.14811725613119342)	(125, 0.16407761800206327)	(130, 0.18436505851690152)	(135, 0.21045940493950765)	(140, 0.2295369627572085)
SRR33705621_2 - illumina_universal_adapter	(1, 2.655192458970196e-05)	(2, 6.195449070930457e-05)	(3, 0.00016816218906811242)	(4, 0.0006062689447981947)	(5, 0.0007523045300415555)	(6, 0.000986846530583923)	(7, 0.0011373074365922339)	(8, 0.0013541481540748)	(9, 0.0015223103431429123)	(10, 0.002940183116232997)	(15, 0.007243365028070695)	(20, 0.013460940702825904)	(25, 0.01803760743793753)	(30, 0.021456610260938154)	(35, 0.024410069339466)	(40, 0.027852968894597357)	(45, 0.031890631560538035)	(50, 0.03661598907335199)	(55, 0.04271673627991251)	(60, 0.05067523314359919)	(65, 0.060873827378503706)	(70, 0.07424006621695967)	(75, 0.0925015948856037)	(80, 0.11642133868431319)	(85, 0.14844207467534076)	(90, 0.1913455594915342)	(95, 0.24879861391873126)	(100, 0.3228209543540554)	(105, 0.4168174225940593)	(110, 0.536487831783999)	(115, 0.6881134822176451)	(120, 0.8764843410909796)	(125, 1.106639078626975)	(130, 1.384626223247166)	(135, 1.716293393810357)	(140, 1.9397065976930272)
SRR33705621_2 - polya	(1, 0.005044865672043372)	(2, 0.010213640325505353)	(3, 0.013448549804684042)	(4, 0.020414004688715858)	(5, 0.024671163264598072)	(6, 0.028556594896224457)	(7, 0.03217650728195383)	(8, 0.040394327942466585)	(9, 0.05068762404174104)	(10, 0.06928193683190934)	(15, 0.09801377443042583)	(20, 0.12749703149483088)	(25, 0.15703073721595637)	(30, 0.18202052357563087)	(35, 0.20471533858660212)	(40, 0.2283430112148249)	(45, 0.2507616862100633)	(50, 0.2726006441850931)	(55, 0.2991074305029926)	(60, 0.32116765451626994)	(65, 0.34520776703978606)	(70, 0.3689212908908489)	(75, 0.39214271907284926)	(80, 0.41569073592730293)	(85, 0.4459077111745368)	(90, 0.4746873422373147)	(95, 0.5019030649417593)	(100, 0.5235835964334039)	(105, 0.5442524995981808)	(110, 0.5652178992542095)	(115, 0.5860399185174539)	(120, 0.6071159511926062)	(125, 0.6307046809980974)	(130, 0.6545527346004147)	(135, 0.6766191540627631)	(140, 0.6892835370278979)
SRR33705621_2 - polyg	(1, 0.3044266660624629)	(2, 0.3160696849950472)	(3, 0.32075167436436464)	(4, 0.3227474940293572)	(5, 0.3257257349041688)	(6, 0.3284782844199679)	(7, 0.3318326775598002)	(8, 0.3352932783979914)	(9, 0.33978940429518095)	(10, 0.34860375819480893)	(15, 0.3566649225002425)	(20, 0.36166287977217737)	(25, 0.36508188259517804)	(30, 0.36763529267655437)	(35, 0.37004797755760527)	(40, 0.37215885556248657)	(45, 0.3740723642612511)	(50, 0.3758301016690894)	(55, 0.37766837991484975)	(60, 0.37924821942793707)	(65, 0.38102100292637614)	(70, 0.38242382960886534)	(75, 0.38403553143146024)	(80, 0.3869049094154541)	(85, 0.39036816544610414)	(90, 0.39609807077256187)	(95, 0.404011429364446)	(100, 0.4104688574246616)	(105, 0.41519067468086357)	(110, 0.41960183441936605)	(115, 0.42456173393272234)	(120, 0.42996239539426784)	(125, 0.4362330749182023)	(130, 0.4439782713210184)	(135, 0.45376354059647656)	(140, 0.4606493397067393)
SRR33705622_1 - illumina_universal_adapter	(1, 0.00010501087227783284)	(2, 0.00015066777326819494)	(3, 0.00032416399703157094)	(4, 0.0011459882148580887)	(5, 0.0013971011703050804)	(6, 0.001757790688128941)	(7, 0.001981509502981715)	(8, 0.002346764710904612)	(9, 0.0026983228485304004)	(10, 0.005001256934484265)	(15, 0.011530193776106045)	(20, 0.020310015836552675)	(25, 0.026671848420549732)	(30, 0.03125397500394247)	(35, 0.03490287453109222)	(40, 0.03904304231289825)	(45, 0.043855279677282415)	(50, 0.04964000903276129)	(55, 0.05708391017022992)	(60, 0.06736127858316043)	(65, 0.08096977449234777)	(70, 0.09946355880750384)	(75, 0.12466708129220352)	(80, 0.15690267966743882)	(85, 0.2002137290849161)	(90, 0.2576473711167322)	(95, 0.33217404374132004)	(100, 0.4262026050549312)	(105, 0.5430349621371886)	(110, 0.6872833751261386)	(115, 0.8635957165425999)	(120, 1.0760454950929332)	(125, 1.3282112986767627)	(130, 1.625854115061052)	(135, 1.9719215537737391)	(140, 2.2024112870433843)
SRR33705622_1 - polya	(1, 0.0043419712841834355)	(2, 0.008967015354507116)	(3, 0.011701863723829807)	(4, 0.018427125239710143)	(5, 0.022175556811018873)	(6, 0.02553133903381049)	(7, 0.029010394889276078)	(8, 0.03658944045367619)	(9, 0.0466019988408626)	(10, 0.06587195047285484)	(15, 0.09453809232866359)	(20, 0.1228471972187277)	(25, 0.15185211327988493)	(30, 0.17680452280913764)	(35, 0.19911339777104836)	(40, 0.22319741304346435)	(45, 0.24531087646913635)	(50, 0.26778502941263216)	(55, 0.29478834693437195)	(60, 0.31644250193608087)	(65, 0.34054660624493266)	(70, 0.36426445317140593)	(75, 0.38832016116520796)	(80, 0.4115969624281144)	(85, 0.4419186235138336)	(90, 0.4713253203037061)	(95, 0.49975952510248367)	(100, 0.5222236335277618)	(105, 0.5436951609255093)	(110, 0.5654625450416743)	(115, 0.5867121799006086)	(120, 0.6088128593940032)	(125, 0.6332603035983027)	(130, 0.6577707543259687)	(135, 0.6805206749514461)	(140, 0.6944368983733086)
SRR33705622_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.034302029714059046)	(4, 0.04267093966559242)	(5, 0.04603585326858211)	(6, 0.04754253100126406)	(7, 0.0486063367943395)	(8, 0.04927749323889782)	(9, 0.04999887227454554)	(10, 0.05160234263732705)	(15, 0.05321585751832645)	(20, 0.054325320212392246)	(25, 0.055303291031605806)	(30, 0.056549724428642686)	(35, 0.05801805036449274)	(40, 0.060268935583317584)	(45, 0.062458640554815356)	(50, 0.06439540629482651)	(55, 0.06631299613642172)	(60, 0.06847074127722623)	(65, 0.07165302727625447)	(70, 0.07587537747984316)	(75, 0.08033879612066096)	(80, 0.08619931593178384)	(85, 0.09479194469817001)	(90, 0.1050702262491203)	(95, 0.11455773027491753)	(100, 0.12159802440763139)	(105, 0.12792607088489558)	(110, 0.1345901521534488)	(115, 0.14223950934537408)	(120, 0.15119374076760392)	(125, 0.1616856966151891)	(130, 0.17520653127447497)	(135, 0.1927990483640813)	(140, 0.20555649963880826)
SRR33705622_2 - illumina_universal_adapter	(1, 4.109121089132589e-05)	(2, 5.935397128747073e-05)	(3, 0.000173496223763376)	(4, 0.0008126928376284454)	(5, 0.0010364116524812198)	(6, 0.0012829589178291751)	(7, 0.0014838492821867683)	(8, 0.001716699477237615)	(9, 0.0020271664039720775)	(10, 0.0040424620136866605)	(15, 0.010506566055902127)	(20, 0.01945805806407252)	(25, 0.02610935540034847)	(30, 0.031156269235823097)	(35, 0.03547815148357077)	(40, 0.04035248223330183)	(45, 0.0458587044927395)	(50, 0.0523529420896086)	(55, 0.060486262432031715)	(60, 0.07153523247169935)	(65, 0.0859929467393074)	(70, 0.1053980427982311)	(75, 0.13166354479996661)	(80, 0.16487346144233622)	(85, 0.20935606693922618)	(90, 0.26807266788887146)	(95, 0.3437836805251493)	(100, 0.43880847541837015)	(105, 0.5567703842311291)	(110, 0.7027537594577129)	(115, 0.8808019762498279)	(120, 1.095445112323738)	(125, 1.350075475423027)	(130, 1.650293341023173)	(135, 1.998806163352904)	(140, 2.2308372735999837)
SRR33705622_2 - polya	(1, 0.005218583783198389)	(2, 0.009948638725799902)	(3, 0.013067005063441633)	(4, 0.020171218857541976)	(5, 0.024476664620933123)	(6, 0.028097256869468838)	(7, 0.03202831604473901)	(8, 0.03995435405666588)	(9, 0.0506243718181135)	(10, 0.07023127137941461)	(15, 0.09874765859997495)	(20, 0.12849221645717607)	(25, 0.15851162885833914)	(30, 0.18386490597828722)	(35, 0.20716727510574823)	(40, 0.23162111127618618)	(45, 0.2550659299347371)	(50, 0.2776323098182335)	(55, 0.3052812159199769)	(60, 0.3281945882510001)	(65, 0.35281735495510236)	(70, 0.3777359783776222)	(75, 0.40278518053697443)	(80, 0.42692854978067796)	(85, 0.45820170068303645)	(90, 0.4878001564570683)	(95, 0.5155348975326737)	(100, 0.5382638159836958)	(105, 0.5601919123913468)	(110, 0.5821884941504835)	(115, 0.6039339629541731)	(120, 0.62640355020757)	(125, 0.6510016621851376)	(130, 0.6748674374708195)	(135, 0.6975233048802569)	(140, 0.7110925358545926)
SRR33705622_2 - polyg	(1, 0.31912347516223494)	(2, 0.33430439474153034)	(3, 0.3387742053484868)	(4, 0.340696360880181)	(5, 0.3437051506554459)	(6, 0.34653587851684836)	(7, 0.3507043535772684)	(8, 0.35473129224461836)	(9, 0.35970789445256784)	(10, 0.3698026352615369)	(15, 0.37860528577247865)	(20, 0.3841279445162729)	(25, 0.3877065324158974)	(30, 0.3908011571650242)	(35, 0.3934803041151387)	(40, 0.39604987450287626)	(45, 0.39831536993001804)	(50, 0.40039641147715865)	(55, 0.4023852260842989)	(60, 0.4041567138427249)	(65, 0.40625693128828166)	(70, 0.408054900049282)	(75, 0.4098793498128569)	(80, 0.4133921917750554)	(85, 0.41802180153547813)	(90, 0.426108551838891)	(95, 0.4369803731027161)	(100, 0.4459044709702923)	(105, 0.45284431992082724)	(110, 0.45900160958838754)	(115, 0.4656419492684257)	(120, 0.4730319752627258)	(125, 0.481534203365151)	(130, 0.4918974067519434)	(135, 0.5050538993413262)	(140, 0.5145076172603905)
