Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR33705621_1	(1, 0.0)	(2, 0.0169445532089948)	(3, 0.0005929929825033437)	(4, 0.00011505833988870848)	(5, 0.0)	(6, 0.0003496003404310758)	(7, 0.03825247269223062)	(8, 0.0)	(9, 0.03854011854195239)	(10, 0.02665193683898984)	(15, 0.07382497112920733)	(20, 0.10615636463793442)	(25, 0.0711467670022594)	(30, 0.1191287499283098)	(35, 0.05503328903292226)	(40, 0.07875566352551498)	(45, 0.09225466198691946)	(50, 0.0002531283477551587)	(55, 0.02140173628345277)	(60, 0.019715689072006697)	(65, 1.150583398887085e-05)	(70, 0.0477155786160004)	(75, 0.12180960924771671)	(80, 8.850641529900652e-07)	(85, 0.0622102742495187)	(90, 0.04111388509884751)	(95, 0.03166848045813753)	(100, 8.850641529900652e-07)	(105, 0.0002531283477551587)	(110, 0.016603803510093627)	(115, 0.02143536872126639)	(120, 0.05419513328004068)	(125, 0.032644706218885565)	(130, 0.023552442175218628)	(135, 0.015944430716116027)	(140, 0.017274682138060094)	(145, 0.03137109890273287)	(150, 3.3189905737127453e-05)
SRR33705621_2	(1, 1.0564435502542966)	(2, 0.6224700441186779)	(3, 0.01312107606807772)	(4, 0.07878398557841067)	(5, 0.00030092181201662224)	(6, 0.00011505833988870848)	(7, 0.00017258750983306274)	(8, 0.000933742681404519)	(9, 0.000216840717482566)	(10, 0.00010443757005282771)	(15, 0.017660570108763762)	(20, 0.05675296868218196)	(25, 0.0248738429556328)	(30, 0.04927860191018086)	(35, 0.0167843565973036)	(40, 0.008931182367822749)	(45, 0.00034694514797210563)	(50, 0.02543851388524046)	(55, 0.07959735953500854)	(60, 1.7701283059801305e-05)	(65, 0.01612321367502002)	(70, 0.0003168529667704434)	(75, 0.0003106575176995129)	(80, 0.008633800812418088)	(85, 0.0078575995502458)	(90, 0.007539861519322366)	(95, 0.01653211331370143)	(100, 0.0006540624090596583)	(105, 0.039758851880619714)	(110, 0.0008346154962696316)	(115, 0.04372128409355624)	(120, 0.024601243196511857)	(125, 0.015853269108358048)	(130, 0.01555765768125937)	(135, 0.055209416799367285)	(140, 0.00014338039278439057)	(145, 0.09023848584640809)	(150, 0.00019028879289286404)
SRR33705622_1	(1, 0.0)	(2, 0.024015529920930468)	(3, 0.0004657003901016934)	(4, 0.027763961492239198)	(5, 0.004446982156461269)	(6, 0.00021002174455566567)	(7, 0.03914622690913647)	(8, 0.0004063464188142227)	(9, 0.03309668752791349)	(10, 0.024310473501328204)	(15, 0.06920855679723048)	(20, 0.09670679512570578)	(25, 0.06315810427798771)	(30, 0.1072279713899248)	(35, 0.05042987341989456)	(40, 0.06983314320277864)	(45, 0.08416941011375234)	(50, 0.000546969673864538)	(55, 0.019556676970211705)	(60, 0.019864404482886743)	(65, 0.013709854229385931)	(70, 0.042470962439254634)	(75, 0.10907524960399487)	(80, 0.00107932913941216)	(85, 0.06009543935955421)	(90, 0.040983460604988635)	(95, 0.035219733423965324)	(100, 0.0007177264835684922)	(105, 0.0006136287493104666)	(110, 0.020585783518534465)	(115, 0.020796718401109936)	(120, 0.052511828105055065)	(125, 0.030213910799382026)	(130, 0.021029568596160786)	(135, 0.017374277102872395)	(140, 0.016383522351381536)	(145, 0.027757569526100548)	(150, 8.90309569312061e-05)
SRR33705622_2	(1, 0.9486727858480408)	(2, 0.5541423730101238)	(3, 0.012135604283238247)	(4, 0.06917477069049763)	(5, 0.0002648100257441002)	(6, 0.0001369707029710863)	(7, 0.0002693757158431364)	(8, 0.0011368568346600163)	(9, 0.00113229114456098)	(10, 0.0004894419786166818)	(15, 0.016946015371582798)	(20, 0.052768419888620896)	(25, 0.023105131315182645)	(30, 0.043203299131140044)	(35, 0.015009249631571636)	(40, 0.009296658179657531)	(45, 0.0011578590091155829)	(50, 0.022559074779337916)	(55, 0.07199454089566239)	(60, 0.004349276388341894)	(65, 0.014645820699688356)	(70, 0.0008583497386188076)	(75, 0.0037557366754671865)	(80, 0.007587263806578374)	(85, 0.007093256137862656)	(90, 0.008937794937873285)	(95, 0.01511426050384947)	(100, 0.0020700838909030175)	(105, 0.03821847868101231)	(110, 0.006166421047758306)	(115, 0.04093962998003789)	(120, 0.02278279359419069)	(125, 0.014068717471170177)	(130, 0.014958113902462431)	(135, 0.05109463789831423)	(140, 0.005488872637061331)	(145, 0.08004202626422362)	(150, 0.00018947613911000273)
SRR33705623_1	(1, 2.591132617319899e-05)	(2, 0.018362493148073686)	(3, 0.00012523807650379512)	(4, 0.003407339391775667)	(5, 6.909686979519731e-05)	(6, 8.637108724399664e-05)	(7, 0.028053329136850106)	(8, 7.773397851959697e-05)	(9, 0.00015546795703919394)	(10, 0.012210280603683805)	(15, 0.00666957535698142)	(20, 0.03283742365929508)	(25, 0.018593967661887596)	(30, 0.013734730293540345)	(35, 0.03744013889852766)	(40, 0.028626833156150243)	(45, 0.018900585021603782)	(50, 0.018347810063242206)	(55, 0.046315631823720754)	(60, 0.023146587670518658)	(65, 0.012716415174933625)	(70, 0.049178833365859244)	(75, 0.050973624558789496)	(80, 0.004220091322741676)	(85, 0.055996103282027906)	(90, 0.015691035419616868)	(95, 0.04757837711922799)	(100, 0.049718652661134226)	(105, 0.0180170087990977)	(110, 0.05693409328949771)	(115, 0.063756545470901)	(120, 0.06288333377886418)	(125, 0.03723889426524915)	(130, 0.033220047575785984)	(135, 0.02394724764927051)	(140, 0.019670151408947793)	(145, 0.014343646458610523)	(150, 0.0010105417207547608)
SRR33705623_2	(1, 0.6004561170746268)	(2, 0.2867260983238956)	(3, 0.055247265955622446)	(4, 0.004974974625254206)	(5, 0.11122004904409447)	(6, 0.003407339391775667)	(7, 0.06265790524115736)	(8, 0.007389046513723912)	(9, 0.002470213095178304)	(10, 0.008514461780513188)	(15, 0.011415666601039036)	(20, 0.02845409098166225)	(25, 0.00869929590721534)	(30, 0.04182001673267073)	(35, 0.04132338298101775)	(40, 0.01927284440762541)	(45, 0.059376667636757925)	(50, 0.028944678757208152)	(55, 0.04643050536975527)	(60, 0.02924784127343458)	(65, 0.017370089355640165)	(70, 0.07741526920766663)	(75, 0.02846791035562129)	(80, 0.05755251027416473)	(85, 0.05466512482759791)	(90, 0.06097798759426162)	(95, 0.01178965340880554)	(100, 0.048676153638099184)	(105, 0.01823984620418721)	(110, 0.025687625057237037)	(115, 0.04408725777282564)	(120, 0.05854491406659824)	(125, 0.06904331972110604)	(130, 0.023253687818701213)	(135, 0.11437518486111767)	(140, 0.02857673792554873)	(145, 0.046583382194177146)	(150, 0.004217068334688136)
SRR33705624_1	(1, 0.0)	(2, 0.017442450020513242)	(3, 0.0006128545858191794)	(4, 0.000208631348363976)	(5, 0.0)	(6, 0.00043899512884919945)	(7, 0.03710160811739373)	(8, 0.0)	(9, 0.03855333458309306)	(10, 0.02614585443643044)	(15, 0.0740102322375508)	(20, 0.10708003954781069)	(25, 0.07135800622147374)	(30, 0.12089143480950588)	(35, 0.05577759098510898)	(40, 0.07861924644182496)	(45, 0.09306522872146059)	(50, 0.0002208015103518746)	(55, 0.021407314936713637)	(60, 0.020278097763693617)	(65, 8.692972848499e-06)	(70, 0.04750361942790764)	(75, 0.12301165088725478)	(80, 0.0)	(85, 0.06226081013551954)	(90, 0.04092651617073329)	(95, 0.0316919711137728)	(100, 0.0)	(105, 0.0002399260506185724)	(110, 0.01642015641352976)	(115, 0.0221401325478421)	(120, 0.05499956991516832)	(125, 0.03274208223387148)	(130, 0.023862210469129754)	(135, 0.016132419012244444)	(140, 0.017434626344949595)	(145, 0.031156483986305265)	(150, 3.694513460612075e-05)
SRR33705624_2	(1, 1.0539794930162611)	(2, 0.6272110304784756)	(3, 0.012913411166445263)	(4, 0.08026656479661552)	(5, 0.0005650432351524351)	(6, 0.0001347410791517345)	(7, 0.0001347410791517345)	(8, 0.0016299324090935626)	(9, 0.00028252161757621753)	(10, 0.0001277867008729353)	(15, 0.017467659641773887)	(20, 0.05683726437534101)	(25, 0.024579380729130924)	(30, 0.049301326212977226)	(35, 0.016966075108415496)	(40, 0.008807720090099187)	(45, 0.0003459803193702602)	(50, 0.025611236606247756)	(55, 0.08032046122827621)	(60, 1.6516648412148097e-05)	(65, 0.016283676739808326)	(70, 0.0003398952383763109)	(75, 0.0003468496166551101)	(80, 0.008716443875189947)	(85, 0.008136622586195064)	(90, 0.007584618810315377)	(95, 0.016753966570912122)	(100, 0.0006293712342313276)	(105, 0.040005061048792395)	(110, 0.0007580272323891127)	(115, 0.044454993849939034)	(120, 0.024478542244088335)	(125, 0.01616545230906874)	(130, 0.015685600207831597)	(135, 0.05564806568966634)	(140, 0.0001443033492850834)	(145, 0.09139530863726393)	(150, 0.00018037918660635425)
SRR33705625_1	(1, 0.0)	(2, 0.00866243007934924)	(3, 0.0)	(4, 0.0008332104060387146)	(5, 0.0)	(6, 5.916286906783772e-05)	(7, 0.03918554027926452)	(8, 0.0)	(9, 0.0)	(10, 0.01762363264749106)	(15, 0.008534243863035591)	(20, 0.04322143399750885)	(25, 0.02630676973101404)	(30, 0.01824385672488556)	(35, 0.049301404842046974)	(40, 0.03980477830884122)	(45, 0.02428339960889399)	(50, 0.01942119781933553)	(55, 0.0639806987055953)	(60, 0.030772580297817993)	(65, 0.016812115293443886)	(70, 0.06615887833510953)	(75, 0.07106841041992226)	(80, 0.0027707943680104)	(85, 0.07890551847577518)	(90, 0.021085646535777366)	(95, 0.06590053380684664)	(100, 0.06630875760341473)	(105, 0.023951101494296304)	(110, 0.08025541793833968)	(115, 0.08707985488531475)	(120, 0.08885967119643887)	(125, 0.05212544579221843)	(130, 0.04195337650382153)	(135, 0.03202091683514937)	(140, 0.02415028315349136)	(145, 0.0150569501777647)	(150, 4.437215180087829e-05)
SRR33705625_2	(1, 0.8085592105937822)	(2, 0.3805750157570441)	(3, 0.07399795848659803)	(4, 0.004836564546295733)	(5, 0.1556032758875022)	(6, 0.00043386103983081)	(7, 0.08196522485440018)	(8, 0.002129863286442158)	(9, 0.0013853971840052)	(10, 0.010644386193121804)	(15, 0.015045117603951132)	(20, 0.04037274185189246)	(25, 0.011402656965007923)	(30, 0.05842431925230755)	(35, 0.056423628229996844)	(40, 0.026062229872200315)	(45, 0.08053151132732292)	(50, 0.03890451665119229)	(55, 0.06490462551087138)	(60, 0.04061235147161721)	(65, 0.02293941643323628)	(70, 0.10752259824388828)	(75, 0.04074152373574865)	(80, 0.08005327813569121)	(85, 0.07584285395369678)	(90, 0.07945869130155946)	(95, 0.016396989162151224)	(100, 0.06532961212034201)	(105, 0.024728107174720574)	(110, 0.030665101085678086)	(115, 0.046739652611409596)	(120, 0.06619043186527905)	(125, 0.09510924226563813)	(130, 0.03270622006851849)	(135, 0.16142095801250625)	(140, 0.0395207965373156)	(145, 0.06467882056059579)	(150, 0.00013804669449162137)
SRR33705626_1	(1, 4.5854582920240865e-06)	(2, 0.011697504102953444)	(3, 5.044004121226494e-05)	(4, 0.0016415940685446226)	(5, 2.292729146012043e-05)	(6, 9.62946241325058e-05)	(7, 0.03543642168076214)	(8, 4.5854582920240865e-06)	(9, 3.20982080441686e-05)	(10, 0.015908788998348362)	(15, 0.007875066070722166)	(20, 0.0399796937564996)	(25, 0.023722409927957405)	(30, 0.016868983964698207)	(35, 0.04469629615567557)	(40, 0.03590688970152381)	(45, 0.022770468786533205)	(50, 0.01960741965669499)	(55, 0.05709904374394232)	(60, 0.028079512397038695)	(65, 0.015198960054743036)	(70, 0.060365724231180286)	(75, 0.06485672208238867)	(80, 0.0031777225963726913)	(85, 0.07213842985012292)	(90, 0.01912502944437406)	(95, 0.05992276896017076)	(100, 0.06107647026644401)	(105, 0.021163724201007966)	(110, 0.07243648463910449)	(115, 0.0790652231460545)	(120, 0.08036841039264775)	(125, 0.046058177268406726)	(130, 0.03912771560584152)	(135, 0.029378114185339914)	(140, 0.023149227641454394)	(145, 0.014533151510741138)	(150, 0.00035308028848585464)
SRR33705626_2	(1, 0.741528216778091)	(2, 0.34966412205829667)	(3, 0.06627362869462411)	(4, 0.004901854914173748)	(5, 0.14149807197527925)	(6, 0.001224317363970431)	(7, 0.07500892674093)	(8, 0.003622512050699028)	(9, 0.001701205026340936)	(10, 0.009899087360821597)	(15, 0.014107620981241303)	(20, 0.036430549038472954)	(25, 0.01033562299022229)	(30, 0.052053205439399015)	(35, 0.05056935113610003)	(40, 0.02381778746043151)	(45, 0.07355717064567517)	(50, 0.03585920093528676)	(55, 0.05918451017515487)	(60, 0.03679830279349329)	(65, 0.02289519325207626)	(70, 0.09916236974833767)	(75, 0.03662497247005478)	(80, 0.0720375497676984)	(85, 0.06797575081262346)	(90, 0.07294547050951916)	(95, 0.015018292998037286)	(100, 0.060204316099301027)	(105, 0.02278605934472609)	(110, 0.028981930588909036)	(115, 0.04574361482957388)	(120, 0.06325089458852184)	(125, 0.0853473010061275)	(130, 0.029646822041252522)	(135, 0.1449949424687768)	(140, 0.03563267929566077)	(145, 0.058903880127683)	(150, 0.001283928321766744)
