Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR33705621_1	(1, 38.35197125028411)	(2, 39.01945291352499)	(3, 39.2346069642512)	(4, 39.23329795436892)	(5, 39.215123870038596)	(6, 39.208203464919954)	(7, 39.24283186542493)	(8, 39.24714141979867)	(9, 39.25194953080979)	(10, 39.24905561884748)	(15, 39.44143339325808)	(20, 39.491197045726665)	(25, 39.346796138571314)	(30, 39.26712392031024)	(35, 39.33390953369864)	(40, 39.3153058923323)	(45, 39.27751223689698)	(50, 39.31060356418875)	(55, 39.27755079029148)	(60, 39.25892944764208)	(65, 39.241521740361826)	(70, 39.20093880524836)	(75, 39.1370424837874)	(80, 39.14805032757995)	(85, 39.089841003535305)	(90, 39.07168182368531)	(95, 39.04964443432718)	(100, 39.045245169850894)	(105, 38.99546765727767)	(110, 38.94683320505804)	(115, 38.92426585698637)	(120, 38.86276777615949)	(125, 38.83578151518735)	(130, 38.792262680668145)	(135, 38.747702072537024)	(140, 38.7056193077099)	(145, 38.644998626380435)	(150, 38.395481667843214)
SRR33705621_2	(1, 37.584926596319406)	(2, 38.8130085136091)	(3, 39.18389092965015)	(4, 39.190210995753816)	(5, 39.27529778868492)	(6, 39.26531267192371)	(7, 39.32198501126155)	(8, 39.33227866138649)	(9, 39.35895290184214)	(10, 39.39248548671802)	(15, 39.43242960022714)	(20, 39.41385520138042)	(25, 39.24933021885158)	(30, 39.20044724061779)	(35, 39.21770623941906)	(40, 39.21521172150642)	(45, 39.20773669978695)	(50, 39.19019288734124)	(55, 39.14884849613439)	(60, 39.15577157414678)	(65, 39.13127361793692)	(70, 39.1006428397956)	(75, 39.078785136161805)	(80, 39.047646879936444)	(85, 39.00475598073251)	(90, 38.98216101865927)	(95, 38.95041125390933)	(100, 38.93082396994463)	(105, 38.853791614831415)	(110, 38.848242705124235)	(115, 38.78724730533368)	(120, 38.76310008234636)	(125, 38.719803522838546)	(130, 38.67110092067914)	(135, 38.607788157416806)	(140, 38.563826543003145)	(145, 38.47633460593758)	(150, 38.250630165676924)
SRR33705622_1	(1, 38.373813867954944)	(2, 39.03737044740202)	(3, 39.25191752135624)	(4, 39.248027827333274)	(5, 39.24327813992324)	(6, 39.23922545076373)	(7, 39.27204710112008)	(8, 39.282531112666895)	(9, 39.29190136977095)	(10, 39.28908390067359)	(15, 39.466099997561926)	(20, 39.51245778677077)	(25, 39.37087215729862)	(30, 39.29376824392693)	(35, 39.35208030647104)	(40, 39.33370291072788)	(45, 39.29731874370106)	(50, 39.32311746780984)	(55, 39.290611105748965)	(60, 39.26935918804498)	(65, 39.244433515196945)	(70, 39.21042246604428)	(75, 39.14857252329346)	(80, 39.15310459165061)	(85, 39.09616254660314)	(90, 39.07427378818138)	(95, 39.04910755825341)	(100, 39.04403270239453)	(105, 38.99299372938991)	(110, 38.94305793668976)	(115, 38.917277584917954)	(120, 38.85770635983281)	(125, 38.82568193375604)	(130, 38.77842682207789)	(135, 38.726446239409995)	(140, 38.67841107044704)	(145, 38.6100653560275)	(150, 38.3502124004691)
SRR33705622_2	(1, 37.07582643328198)	(2, 38.64681446779531)	(3, 39.105283078721534)	(4, 39.15496098298212)	(5, 39.257604727571206)	(6, 39.24557395153264)	(7, 39.2603568342491)	(8, 39.2887088566261)	(9, 39.32016253491497)	(10, 39.372604891479476)	(15, 39.41202904107632)	(20, 39.404711116460064)	(25, 39.22726084070609)	(30, 39.1784852446484)	(35, 39.19648524044796)	(40, 39.19398305964609)	(45, 39.1876661351899)	(50, 39.1730908270081)	(55, 39.13560757053512)	(60, 39.14058446494723)	(65, 39.11627640213028)	(70, 39.08853525082578)	(75, 39.06372275230392)	(80, 39.0351890519865)	(85, 38.992578872524746)	(90, 38.967377395469214)	(95, 38.934018673855135)	(100, 38.910514373385965)	(105, 38.83587894602323)	(110, 38.823967151868644)	(115, 38.762850988567784)	(120, 38.73458494726673)	(125, 38.688288685297664)	(130, 38.63500277183046)	(135, 38.56961840053466)	(140, 38.517441401878706)	(145, 38.432385645214644)	(150, 38.18547161798104)
SRR33705623_1	(1, 38.53144864135473)	(2, 39.09560869095246)	(3, 39.27039898303227)	(4, 39.2452390853181)	(5, 39.260321981912426)	(6, 39.247880745021455)	(7, 39.30384920955556)	(8, 39.30795770943359)	(9, 39.31516053988321)	(10, 39.29811456666956)	(15, 39.481170917282974)	(20, 39.526651254321955)	(25, 39.37149027740104)	(30, 39.32024596585483)	(35, 39.340696911892465)	(40, 39.324238521185336)	(45, 39.30381419471679)	(50, 39.286012595409275)	(55, 39.254475177532534)	(60, 39.24101823392978)	(65, 39.22608543301087)	(70, 39.17874022327876)	(75, 39.13412012499451)	(80, 39.12065630625322)	(85, 39.05427228321148)	(90, 39.02722709467916)	(95, 38.974748004795494)	(100, 38.94858074381657)	(105, 38.909517795834034)	(110, 38.84457350971979)	(115, 38.80301773669144)	(120, 38.74076935132334)	(125, 38.706999240841334)	(130, 38.65402866492281)	(135, 38.582396216393605)	(140, 38.51297535137594)	(145, 38.42754382609319)	(150, 38.097009673173105)
SRR33705623_2	(1, 37.92913079549456)	(2, 38.99378408877877)	(3, 39.20432596500149)	(4, 39.188892229050765)	(5, 39.22094920356572)	(6, 39.26257220784839)	(7, 39.268448032913604)	(8, 39.31754204987179)	(9, 39.358034974848955)	(10, 39.37867303520999)	(15, 39.42225538488101)	(20, 39.43243084904031)	(25, 39.26768228412831)	(30, 39.21060379565516)	(35, 39.21101072439561)	(40, 39.20688519213918)	(45, 39.17814020333567)	(50, 39.17198626336955)	(55, 39.15122249852813)	(60, 39.12916805598159)	(65, 39.10902759672838)	(70, 39.05743431144127)	(75, 39.04184963337849)	(80, 38.99560945533658)	(85, 38.956326209258926)	(90, 38.91060855902062)	(95, 38.888660905686365)	(100, 38.8233110036722)	(105, 38.7794271152614)	(110, 38.73659685046967)	(115, 38.65948310272757)	(120, 38.599878018113486)	(125, 38.52713554564524)	(130, 38.45438046299826)	(135, 38.346583403786944)	(140, 38.274501911975165)	(145, 38.14863778328259)	(150, 37.80683965730198)
SRR33705624_1	(1, 38.41054085547285)	(2, 39.024907236200114)	(3, 39.250066533840936)	(4, 39.253443493003395)	(5, 39.23641865339852)	(6, 39.23504246886688)	(7, 39.270319856632014)	(8, 39.26850841494984)	(9, 39.26840479471349)	(10, 39.27045697958573)	(15, 39.45534112551135)	(20, 39.50318324930199)	(25, 39.36447975665239)	(30, 39.28574032116797)	(35, 39.351011855519836)	(40, 39.33273720982259)	(45, 39.292841993178705)	(50, 39.32440875071158)	(55, 39.2883337479157)	(60, 39.26752845612064)	(65, 39.2459230631046)	(70, 39.2035850863184)	(75, 39.13752824618534)	(80, 39.148097840626434)	(85, 39.09204322198258)	(90, 39.07447757515086)	(95, 39.05144354420501)	(100, 39.04391749864574)	(105, 38.993847991808096)	(110, 38.946436326646975)	(115, 38.92035243572101)	(120, 38.86111764943405)	(125, 38.829705592046)	(130, 38.784557611786525)	(135, 38.73883149667479)	(140, 38.695024059758275)	(145, 38.63382860821723)	(150, 38.38055509760492)
SRR33705624_2	(1, 37.804249290294834)	(2, 38.75908864437392)	(3, 39.234703964504156)	(4, 39.244336299998665)	(5, 39.3275997671848)	(6, 39.336413137707254)	(7, 39.37378509728023)	(8, 39.38477005934997)	(9, 39.4073090254921)	(10, 39.449218682120105)	(15, 39.48442026716201)	(20, 39.46441330322146)	(25, 39.326617687270215)	(30, 39.27917524898521)	(35, 39.29123388013147)	(40, 39.2837874622035)	(45, 39.27350343192048)	(50, 39.25155677017635)	(55, 39.20799268434176)	(60, 39.21437040557369)	(65, 39.18610737760001)	(70, 39.154843326767676)	(75, 39.13010848091212)	(80, 39.09682291401576)	(85, 39.05262003376438)	(90, 39.03002242482741)	(95, 38.997271580076905)	(100, 38.977029140887836)	(105, 38.90074906912387)	(110, 38.894101483242835)	(115, 38.83098648420928)	(120, 38.807234222460735)	(125, 38.761622454713844)	(130, 38.7132644551425)	(135, 38.6500781041878)	(140, 38.60786511496522)	(145, 38.52291851437616)	(150, 38.29296053055647)
SRR33705625_1	(1, 38.3980970854793)	(2, 39.071574943183926)	(3, 39.26272632755562)	(4, 39.228497748261205)	(5, 39.24123778188149)	(6, 39.218461457757314)	(7, 39.25355154703014)	(8, 39.25173643020714)	(9, 39.25883755217179)	(10, 39.245474218004915)	(15, 39.45005153085896)	(20, 39.50131935170117)	(25, 39.348321016938726)	(30, 39.292093474177776)	(35, 39.312651880945374)	(40, 39.29447785612695)	(45, 39.270918708640224)	(50, 39.25102351763487)	(55, 39.21062099713889)	(60, 39.19588715511005)	(65, 39.181660181101485)	(70, 39.12424993314596)	(75, 39.072402690885056)	(80, 39.060259512008884)	(85, 38.98045037931287)	(90, 38.95410270831839)	(95, 38.89269447032272)	(100, 38.86883712225494)	(105, 38.828921531892334)	(110, 38.75009420700851)	(115, 38.70872522160438)	(120, 38.64322086208978)	(125, 38.61519687036311)	(130, 38.56671238641716)	(135, 38.49175750796529)	(140, 38.425763772918714)	(145, 38.34158278029198)	(150, 38.027880206233874)
SRR33705625_2	(1, 37.46910909396404)	(2, 38.743160180707065)	(3, 39.04994361778578)	(4, 39.079844137393536)	(5, 39.101512340980065)	(6, 39.14479145877492)	(7, 39.19151937741729)	(8, 39.243280872959964)	(9, 39.2624493467236)	(10, 39.30394014847514)	(15, 39.3590854840351)	(20, 39.364451201282336)	(25, 39.17606917164884)	(30, 39.10761771241639)	(35, 39.10970551090293)	(40, 39.10448906157435)	(45, 39.06825724725426)	(50, 39.06099433456366)	(55, 39.032214990766654)	(60, 39.003947997415764)	(65, 38.98092991408763)	(70, 38.912710393022884)	(75, 38.89889673081762)	(80, 38.843729248623674)	(85, 38.7991970020991)	(90, 38.745974025922806)	(95, 38.72356707531118)	(100, 38.64540123074544)	(105, 38.60062759971507)	(110, 38.5600747858107)	(115, 38.47576217552124)	(120, 38.41745227725771)	(125, 38.33763695218141)	(130, 38.26589889696747)	(135, 38.148902509057834)	(140, 38.08675193482303)	(145, 37.957187184218185)	(150, 37.64340724484829)
