Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR33705621_1	(0.0, 6.0)	(1.0, 4.0)	(2.0, 3.5)	(3.0, 3.5)	(4.0, 2.5)	(5.0, 3.5)	(6.0, 5.0)	(7.0, 8.5)	(8.0, 12.0)	(9.0, 15.0)	(10.0, 16.0)	(11.0, 19.0)	(12.0, 26.0)	(13.0, 53.0)	(14.0, 126.0)	(15.0, 248.5)	(16.0, 609.5)	(17.0, 1365.5)	(18.0, 2514.5)	(19.0, 4460.0)	(20.0, 7719.5)	(21.0, 12589.5)	(22.0, 20218.5)	(23.0, 31234.0)	(24.0, 45138.5)	(25.0, 62909.0)	(26.0, 86185.0)	(27.0, 114149.5)	(28.0, 146194.0)	(29.0, 182015.0)	(30.0, 221937.0)	(31.0, 266081.0)	(32.0, 313214.0)	(33.0, 361404.5)	(34.0, 409691.0)	(35.0, 460241.0)	(36.0, 515344.0)	(37.0, 570108.5)	(38.0, 618579.0)	(39.0, 667520.0)	(40.0, 699842.5)	(41.0, 720569.0)	(42.0, 752507.5)	(43.0, 783366.5)	(44.0, 795556.5)	(45.0, 793558.0)	(46.0, 785399.0)	(47.0, 769698.5)	(48.0, 751592.5)	(49.0, 732925.5)	(50.0, 721237.0)	(51.0, 710259.5)	(52.0, 689926.0)	(53.0, 664074.0)	(54.0, 638551.0)	(55.0, 616666.5)	(56.0, 577334.0)	(57.0, 533493.5)	(58.0, 506514.5)	(59.0, 485257.0)	(60.0, 460391.0)	(61.0, 424276.0)	(62.0, 384159.5)	(63.0, 346754.5)	(64.0, 313789.0)	(65.0, 278060.0)	(66.0, 243029.0)	(67.0, 212248.5)	(68.0, 180687.5)	(69.0, 150853.0)	(70.0, 124273.0)	(71.0, 103103.0)	(72.0, 89449.5)	(73.0, 76254.0)	(74.0, 64946.0)	(75.0, 56548.5)	(76.0, 46536.0)	(77.0, 39208.5)	(78.0, 33392.0)	(79.0, 27317.0)	(80.0, 21709.0)	(81.0, 16513.0)	(82.0, 12442.5)	(83.0, 9388.0)	(84.0, 6790.0)	(85.0, 4567.5)	(86.0, 3025.0)	(87.0, 1912.0)	(88.0, 1128.0)	(89.0, 671.0)	(90.0, 369.5)	(91.0, 226.5)	(92.0, 135.0)	(93.0, 75.5)	(94.0, 74.0)	(95.0, 136.5)	(96.0, 319.5)	(97.0, 1023.5)	(98.0, 4363.5)	(99.0, 5144.5)	(100.0, 1608.5)
SRR33705621_2	(0.0, 7.0)	(1.0, 4.0)	(2.0, 2.5)	(3.0, 6.5)	(4.0, 9.0)	(5.0, 5.0)	(6.0, 2.5)	(7.0, 4.5)	(8.0, 6.0)	(9.0, 7.5)	(10.0, 11.0)	(11.0, 18.0)	(12.0, 25.5)	(13.0, 55.5)	(14.0, 109.5)	(15.0, 248.0)	(16.0, 597.5)	(17.0, 1276.0)	(18.0, 2502.5)	(19.0, 4426.5)	(20.0, 7579.0)	(21.0, 12711.0)	(22.0, 20448.0)	(23.0, 31243.5)	(24.0, 44796.5)	(25.0, 62457.0)	(26.0, 86083.5)	(27.0, 114686.5)	(28.0, 147179.0)	(29.0, 183216.5)	(30.0, 223191.5)	(31.0, 267881.5)	(32.0, 315639.5)	(33.0, 364160.5)	(34.0, 412477.5)	(35.0, 462473.5)	(36.0, 517407.5)	(37.0, 572302.5)	(38.0, 620857.5)	(39.0, 669845.5)	(40.0, 701556.5)	(41.0, 721700.0)	(42.0, 752503.5)	(43.0, 782438.5)	(44.0, 793025.5)	(45.0, 789322.5)	(46.0, 781416.5)	(47.0, 767004.5)	(48.0, 749157.0)	(49.0, 729468.5)	(50.0, 717504.0)	(51.0, 706213.0)	(52.0, 685004.0)	(53.0, 660467.5)	(54.0, 636549.0)	(55.0, 613829.5)	(56.0, 574894.5)	(57.0, 531664.5)	(58.0, 504266.5)	(59.0, 483555.5)	(60.0, 459193.5)	(61.0, 422904.5)	(62.0, 382218.0)	(63.0, 344036.0)	(64.0, 311954.5)	(65.0, 276116.5)	(66.0, 240377.0)	(67.0, 210618.0)	(68.0, 179401.5)	(69.0, 149828.5)	(70.0, 123677.0)	(71.0, 102465.5)	(72.0, 88725.0)	(73.0, 75248.0)	(74.0, 64109.5)	(75.0, 55643.5)	(76.0, 45944.5)	(77.0, 39037.0)	(78.0, 33165.5)	(79.0, 26861.5)	(80.0, 21467.0)	(81.0, 16755.5)	(82.0, 12604.5)	(83.0, 9488.5)	(84.0, 6956.5)	(85.0, 4893.5)	(86.0, 3463.5)	(87.0, 2492.5)	(88.0, 1773.5)	(89.0, 1378.5)	(90.0, 1166.5)	(91.0, 1073.5)	(92.0, 1053.5)	(93.0, 1072.5)	(94.0, 1194.5)	(95.0, 1336.0)	(96.0, 1594.0)	(97.0, 2153.0)	(98.0, 3107.0)	(99.0, 5493.5)	(100.0, 20663.5)
SRR33705622_1	(0.0, 10.0)	(1.0, 6.5)	(2.0, 2.0)	(3.0, 2.5)	(4.0, 3.0)	(5.0, 2.5)	(6.0, 2.5)	(7.0, 6.5)	(8.0, 10.0)	(9.0, 11.5)	(10.0, 26.5)	(11.0, 34.5)	(12.0, 34.0)	(13.0, 78.5)	(14.0, 165.5)	(15.0, 304.0)	(16.0, 734.0)	(17.0, 1578.0)	(18.0, 2948.5)	(19.0, 5059.0)	(20.0, 8567.5)	(21.0, 13943.0)	(22.0, 22307.0)	(23.0, 34162.0)	(24.0, 48868.0)	(25.0, 67746.5)	(26.0, 92014.0)	(27.0, 121053.5)	(28.0, 153700.0)	(29.0, 189748.0)	(30.0, 229688.0)	(31.0, 272246.0)	(32.0, 316955.5)	(33.0, 364121.0)	(34.0, 409739.0)	(35.0, 455800.0)	(36.0, 508233.5)	(37.0, 560234.5)	(38.0, 604407.0)	(39.0, 649305.0)	(40.0, 679171.5)	(41.0, 697779.0)	(42.0, 726693.5)	(43.0, 753918.5)	(44.0, 763379.0)	(45.0, 760968.5)	(46.0, 752610.5)	(47.0, 737404.5)	(48.0, 719907.0)	(49.0, 702273.5)	(50.0, 692228.0)	(51.0, 681001.0)	(52.0, 660791.5)	(53.0, 636015.0)	(54.0, 612105.0)	(55.0, 589752.5)	(56.0, 551019.0)	(57.0, 510255.5)	(58.0, 484472.0)	(59.0, 464450.0)	(60.0, 440062.0)	(61.0, 405191.0)	(62.0, 367600.0)	(63.0, 331470.0)	(64.0, 299342.5)	(65.0, 264714.5)	(66.0, 231373.5)	(67.0, 202774.5)	(68.0, 172611.0)	(69.0, 143641.0)	(70.0, 118584.0)	(71.0, 98576.5)	(72.0, 85456.0)	(73.0, 72594.5)	(74.0, 62099.0)	(75.0, 54422.0)	(76.0, 44996.0)	(77.0, 38404.0)	(78.0, 33277.5)	(79.0, 27269.0)	(80.0, 21926.0)	(81.0, 17228.5)	(82.0, 13132.5)	(83.0, 10207.0)	(84.0, 7701.0)	(85.0, 5472.5)	(86.0, 3861.5)	(87.0, 2706.5)	(88.0, 1820.5)	(89.0, 1124.0)	(90.0, 689.5)	(91.0, 423.5)	(92.0, 252.0)	(93.0, 141.0)	(94.0, 108.5)	(95.0, 167.0)	(96.0, 387.0)	(97.0, 1088.0)	(98.0, 3483.0)	(99.0, 4324.5)	(100.0, 1696.5)
SRR33705622_2	(0.0, 12.0)	(1.0, 7.5)	(2.0, 4.0)	(3.0, 4.0)	(4.0, 2.5)	(5.0, 3.5)	(6.0, 3.5)	(7.0, 3.0)	(8.0, 6.0)	(9.0, 7.5)	(10.0, 13.5)	(11.0, 27.5)	(12.0, 40.0)	(13.0, 82.5)	(14.0, 152.0)	(15.0, 316.5)	(16.0, 726.5)	(17.0, 1489.5)	(18.0, 2765.5)	(19.0, 4928.5)	(20.0, 8658.5)	(21.0, 14090.0)	(22.0, 22237.0)	(23.0, 33994.0)	(24.0, 48620.0)	(25.0, 67558.0)	(26.0, 92167.5)	(27.0, 120956.0)	(28.0, 153673.0)	(29.0, 190787.5)	(30.0, 230555.0)	(31.0, 273529.0)	(32.0, 319937.5)	(33.0, 367378.0)	(34.0, 413121.0)	(35.0, 459510.5)	(36.0, 512004.0)	(37.0, 562090.5)	(38.0, 605265.5)	(39.0, 651176.5)	(40.0, 681197.5)	(41.0, 698592.0)	(42.0, 726418.0)	(43.0, 755295.5)	(44.0, 764650.5)	(45.0, 759038.0)	(46.0, 750370.5)	(47.0, 735106.0)	(48.0, 717041.0)	(49.0, 698072.0)	(50.0, 685828.0)	(51.0, 676275.0)	(52.0, 657497.5)	(53.0, 633052.0)	(54.0, 608763.5)	(55.0, 586112.5)	(56.0, 549002.0)	(57.0, 509372.5)	(58.0, 482513.0)	(59.0, 461732.5)	(60.0, 437808.0)	(61.0, 402525.5)	(62.0, 364501.5)	(63.0, 328454.5)	(64.0, 296695.5)	(65.0, 262184.5)	(66.0, 229133.5)	(67.0, 200365.0)	(68.0, 170455.5)	(69.0, 142020.0)	(70.0, 116929.0)	(71.0, 97403.5)	(72.0, 84666.0)	(73.0, 72270.0)	(74.0, 61641.0)	(75.0, 53655.5)	(76.0, 44431.0)	(77.0, 37828.5)	(78.0, 32626.5)	(79.0, 26769.0)	(80.0, 21459.5)	(81.0, 16797.5)	(82.0, 12936.5)	(83.0, 10094.5)	(84.0, 7669.5)	(85.0, 5697.5)	(86.0, 4230.5)	(87.0, 3107.0)	(88.0, 2333.5)	(89.0, 1806.0)	(90.0, 1495.5)	(91.0, 1294.5)	(92.0, 1174.0)	(93.0, 1154.5)	(94.0, 1218.0)	(95.0, 1389.5)	(96.0, 1666.5)	(97.0, 2198.5)	(98.0, 3153.5)	(99.0, 5600.5)	(100.0, 21782.5)
SRR33705623_1	(0.0, 3.0)	(1.0, 3.0)	(2.0, 2.0)	(3.0, 1.5)	(4.0, 1.5)	(5.0, 1.5)	(6.0, 1.5)	(7.0, 3.0)	(8.0, 5.5)	(9.0, 7.5)	(10.0, 10.0)	(11.0, 10.5)	(12.0, 17.0)	(13.0, 40.0)	(14.0, 73.5)	(15.0, 175.5)	(16.0, 468.5)	(17.0, 1060.0)	(18.0, 2114.5)	(19.0, 3879.5)	(20.0, 6880.5)	(21.0, 11602.5)	(22.0, 18960.0)	(23.0, 29968.0)	(24.0, 44207.0)	(25.0, 62326.0)	(26.0, 86828.5)	(27.0, 116632.5)	(28.0, 151572.0)	(29.0, 190558.0)	(30.0, 232711.5)	(31.0, 279510.0)	(32.0, 328622.0)	(33.0, 378889.5)	(34.0, 428684.5)	(35.0, 480406.5)	(36.0, 538298.5)	(37.0, 595384.5)	(38.0, 643951.0)	(39.0, 692536.0)	(40.0, 726732.0)	(41.0, 749666.0)	(42.0, 781902.5)	(43.0, 812675.0)	(44.0, 823233.0)	(45.0, 819693.5)	(46.0, 810967.5)	(47.0, 795703.0)	(48.0, 776971.5)	(49.0, 754857.5)	(50.0, 740179.5)	(51.0, 727676.5)	(52.0, 707930.0)	(53.0, 680173.5)	(54.0, 649594.0)	(55.0, 623560.0)	(56.0, 582785.0)	(57.0, 538184.0)	(58.0, 507716.5)	(59.0, 483736.0)	(60.0, 458114.0)	(61.0, 421458.5)	(62.0, 379850.0)	(63.0, 340282.5)	(64.0, 306657.0)	(65.0, 271916.5)	(66.0, 237798.5)	(67.0, 207909.0)	(68.0, 176733.0)	(69.0, 146601.0)	(70.0, 121742.0)	(71.0, 102195.5)	(72.0, 89628.0)	(73.0, 77203.0)	(74.0, 66470.0)	(75.0, 58671.5)	(76.0, 48549.0)	(77.0, 41392.5)	(78.0, 35668.5)	(79.0, 29313.0)	(80.0, 23698.0)	(81.0, 18645.5)	(82.0, 14818.5)	(83.0, 11874.0)	(84.0, 8935.5)	(85.0, 6370.0)	(86.0, 4674.0)	(87.0, 3448.0)	(88.0, 2445.0)	(89.0, 1661.0)	(90.0, 1137.0)	(91.0, 791.0)	(92.0, 469.5)	(93.0, 244.0)	(94.0, 179.0)	(95.0, 240.5)	(96.0, 520.5)	(97.0, 1684.0)	(98.0, 6415.5)	(99.0, 7090.0)	(100.0, 2023.5)
SRR33705623_2	(0.0, 3.0)	(1.0, 2.0)	(2.0, 1.0)	(3.0, 2.0)	(4.0, 2.5)	(5.0, 2.0)	(6.0, 1.5)	(7.0, 5.5)	(8.0, 9.0)	(9.0, 9.0)	(10.0, 10.0)	(11.0, 11.0)	(12.0, 16.0)	(13.0, 38.0)	(14.0, 82.5)	(15.0, 168.0)	(16.0, 435.0)	(17.0, 1004.0)	(18.0, 2027.5)	(19.0, 3852.0)	(20.0, 6882.5)	(21.0, 11732.0)	(22.0, 19560.5)	(23.0, 31127.0)	(24.0, 45669.5)	(25.0, 64317.5)	(26.0, 89067.0)	(27.0, 119474.5)	(28.0, 154574.0)	(29.0, 194164.0)	(30.0, 237263.5)	(31.0, 284097.5)	(32.0, 333021.5)	(33.0, 382940.5)	(34.0, 433958.0)	(35.0, 485234.5)	(36.0, 542582.5)	(37.0, 600283.5)	(38.0, 649408.0)	(39.0, 698045.5)	(40.0, 730243.0)	(41.0, 752455.0)	(42.0, 782121.0)	(43.0, 812331.5)	(44.0, 822971.5)	(45.0, 816783.5)	(46.0, 806627.0)	(47.0, 790883.5)	(48.0, 773235.5)	(49.0, 749797.0)	(50.0, 733311.5)	(51.0, 721369.0)	(52.0, 702076.0)	(53.0, 674658.5)	(54.0, 645678.0)	(55.0, 620235.5)	(56.0, 579439.0)	(57.0, 534736.5)	(58.0, 503097.5)	(59.0, 478666.0)	(60.0, 453934.0)	(61.0, 417438.5)	(62.0, 377297.5)	(63.0, 338161.0)	(64.0, 302429.5)	(65.0, 267973.5)	(66.0, 235236.0)	(67.0, 205698.0)	(68.0, 175347.0)	(69.0, 146457.0)	(70.0, 121456.5)	(71.0, 101404.5)	(72.0, 88874.0)	(73.0, 76656.5)	(74.0, 65612.5)	(75.0, 57537.5)	(76.0, 47844.0)	(77.0, 40653.0)	(78.0, 35011.0)	(79.0, 29066.5)	(80.0, 23745.0)	(81.0, 18888.5)	(82.0, 14770.0)	(83.0, 11795.0)	(84.0, 9106.5)	(85.0, 6744.0)	(86.0, 5071.5)	(87.0, 3885.5)	(88.0, 2992.5)	(89.0, 2327.0)	(90.0, 1910.5)	(91.0, 1627.5)	(92.0, 1392.0)	(93.0, 1295.5)	(94.0, 1322.0)	(95.0, 1405.5)	(96.0, 1527.5)	(97.0, 1921.5)	(98.0, 2687.5)	(99.0, 4355.5)	(100.0, 17008.0)
SRR33705624_1	(0.0, 8.0)	(1.0, 4.5)	(2.0, 2.0)	(3.0, 2.0)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 1.5)	(7.0, 4.5)	(8.0, 5.0)	(9.0, 6.5)	(10.0, 12.0)	(11.0, 11.5)	(12.0, 19.0)	(13.0, 42.0)	(14.0, 76.0)	(15.0, 141.5)	(16.0, 345.0)	(17.0, 757.5)	(18.0, 1442.0)	(19.0, 2654.0)	(20.0, 4712.5)	(21.0, 7860.0)	(22.0, 12933.5)	(23.0, 20258.5)	(24.0, 29823.5)	(25.0, 43093.5)	(26.0, 60432.0)	(27.0, 81510.0)	(28.0, 105982.0)	(29.0, 134638.5)	(30.0, 166428.0)	(31.0, 202002.5)	(32.0, 243168.5)	(33.0, 285446.0)	(34.0, 328240.0)	(35.0, 375433.0)	(36.0, 427836.0)	(37.0, 481748.0)	(38.0, 531578.0)	(39.0, 581408.5)	(40.0, 619126.0)	(41.0, 649576.5)	(42.0, 689347.0)	(43.0, 729489.0)	(44.0, 751627.5)	(45.0, 762441.0)	(46.0, 770050.5)	(47.0, 765891.0)	(48.0, 759102.5)	(49.0, 752323.5)	(50.0, 752012.0)	(51.0, 752241.5)	(52.0, 740528.0)	(53.0, 726325.5)	(54.0, 711333.0)	(55.0, 696422.0)	(56.0, 661043.5)	(57.0, 618832.0)	(58.0, 593992.5)	(59.0, 576581.0)	(60.0, 557286.0)	(61.0, 522062.5)	(62.0, 477534.5)	(63.0, 435923.0)	(64.0, 399478.5)	(65.0, 356107.5)	(66.0, 313921.5)	(67.0, 277177.5)	(68.0, 237116.0)	(69.0, 198802.5)	(70.0, 164865.0)	(71.0, 137204.5)	(72.0, 119166.0)	(73.0, 102354.0)	(74.0, 88313.5)	(75.0, 77710.0)	(76.0, 64532.5)	(77.0, 55031.0)	(78.0, 47510.5)	(79.0, 38823.5)	(80.0, 31574.5)	(81.0, 24880.5)	(82.0, 19236.5)	(83.0, 14891.0)	(84.0, 10926.0)	(85.0, 7714.0)	(86.0, 5328.5)	(87.0, 3575.5)	(88.0, 2284.5)	(89.0, 1396.5)	(90.0, 855.0)	(91.0, 524.0)	(92.0, 270.0)	(93.0, 115.5)	(94.0, 62.5)	(95.0, 53.0)	(96.0, 125.0)	(97.0, 381.5)	(98.0, 1352.0)	(99.0, 1652.5)	(100.0, 602.0)
SRR33705624_2	(0.0, 13.0)	(1.0, 8.5)	(2.0, 3.0)	(3.0, 1.5)	(4.0, 1.5)	(5.0, 1.5)	(6.0, 1.5)	(7.0, 2.5)	(8.0, 5.5)	(9.0, 6.0)	(10.0, 8.0)	(11.0, 10.0)	(12.0, 18.0)	(13.0, 37.0)	(14.0, 82.5)	(15.0, 134.5)	(16.0, 308.0)	(17.0, 688.0)	(18.0, 1269.5)	(19.0, 2381.5)	(20.0, 4243.0)	(21.0, 7251.5)	(22.0, 12161.0)	(23.0, 19439.5)	(24.0, 29088.5)	(25.0, 41782.0)	(26.0, 58832.5)	(27.0, 79772.5)	(28.0, 104541.5)	(29.0, 133255.0)	(30.0, 165669.0)	(31.0, 202767.5)	(32.0, 243772.5)	(33.0, 286356.5)	(34.0, 329571.0)	(35.0, 376901.5)	(36.0, 429737.0)	(37.0, 483417.0)	(38.0, 534250.0)	(39.0, 584062.0)	(40.0, 621122.5)	(41.0, 651113.0)	(42.0, 691200.0)	(43.0, 731050.5)	(44.0, 752054.5)	(45.0, 763344.5)	(46.0, 770408.5)	(47.0, 765369.5)	(48.0, 756250.5)	(49.0, 750078.5)	(50.0, 750696.0)	(51.0, 751159.5)	(52.0, 740322.5)	(53.0, 724620.5)	(54.0, 710998.5)	(55.0, 697178.5)	(56.0, 662105.0)	(57.0, 621788.5)	(58.0, 595206.0)	(59.0, 574887.5)	(60.0, 554954.0)	(61.0, 519074.5)	(62.0, 474750.5)	(63.0, 433773.5)	(64.0, 396737.0)	(65.0, 352995.0)	(66.0, 311020.0)	(67.0, 274879.5)	(68.0, 235685.5)	(69.0, 197127.5)	(70.0, 163311.0)	(71.0, 136002.5)	(72.0, 117461.5)	(73.0, 100552.0)	(74.0, 86760.0)	(75.0, 76006.5)	(76.0, 63130.5)	(77.0, 53873.5)	(78.0, 46417.5)	(79.0, 38057.5)	(80.0, 30962.0)	(81.0, 24324.0)	(82.0, 18578.0)	(83.0, 14307.0)	(84.0, 10694.0)	(85.0, 7729.5)	(86.0, 5501.5)	(87.0, 3853.5)	(88.0, 2592.0)	(89.0, 1815.0)	(90.0, 1300.5)	(91.0, 973.0)	(92.0, 777.0)	(93.0, 682.0)	(94.0, 665.0)	(95.0, 706.5)	(96.0, 881.5)	(97.0, 1260.0)	(98.0, 1972.5)	(99.0, 3729.0)	(100.0, 15459.0)
SRR33705625_1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 2.0)	(11.0, 5.0)	(12.0, 8.0)	(13.0, 11.0)	(14.0, 23.0)	(15.0, 56.0)	(16.0, 135.0)	(17.0, 322.5)	(18.0, 722.5)	(19.0, 1351.0)	(20.0, 2533.5)	(21.0, 4532.0)	(22.0, 7757.5)	(23.0, 12630.0)	(24.0, 19447.5)	(25.0, 28807.0)	(26.0, 41534.5)	(27.0, 57847.5)	(28.0, 77411.0)	(29.0, 99893.5)	(30.0, 125694.5)	(31.0, 155834.0)	(32.0, 188694.0)	(33.0, 223886.5)	(34.0, 261283.5)	(35.0, 301630.0)	(36.0, 347548.0)	(37.0, 395814.0)	(38.0, 439674.5)	(39.0, 484101.5)	(40.0, 519685.5)	(41.0, 548884.0)	(42.0, 583753.0)	(43.0, 619253.5)	(44.0, 641547.5)	(45.0, 652035.5)	(46.0, 658415.0)	(47.0, 658558.0)	(48.0, 656023.5)	(49.0, 650915.0)	(50.0, 652889.0)	(51.0, 656562.0)	(52.0, 652779.5)	(53.0, 644014.0)	(54.0, 632129.5)	(55.0, 621044.5)	(56.0, 595942.0)	(57.0, 565825.0)	(58.0, 547053.5)	(59.0, 533717.5)	(60.0, 517966.0)	(61.0, 489877.0)	(62.0, 454029.0)	(63.0, 416694.5)	(64.0, 381921.5)	(65.0, 344656.5)	(66.0, 305769.5)	(67.0, 270609.5)	(68.0, 234966.5)	(69.0, 199172.5)	(70.0, 168387.5)	(71.0, 142897.5)	(72.0, 124992.0)	(73.0, 107812.5)	(74.0, 92656.0)	(75.0, 82212.0)	(76.0, 69149.5)	(77.0, 58948.0)	(78.0, 51124.0)	(79.0, 42473.5)	(80.0, 35204.5)	(81.0, 28546.0)	(82.0, 22908.0)	(83.0, 18351.0)	(84.0, 13934.0)	(85.0, 10244.0)	(86.0, 7593.5)	(87.0, 5514.0)	(88.0, 3793.5)	(89.0, 2589.0)	(90.0, 1773.0)	(91.0, 1150.0)	(92.0, 648.5)	(93.0, 347.0)	(94.0, 184.5)	(95.0, 119.0)	(96.0, 142.5)	(97.0, 364.5)	(98.0, 1218.5)	(99.0, 1376.0)	(100.0, 445.0)
SRR33705625_2	(0.0, 3.0)	(1.0, 1.5)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 1.5)	(5.0, 1.5)	(6.0, 1.5)	(7.0, 2.5)	(8.0, 1.5)	(9.0, 1.0)	(10.0, 2.5)	(11.0, 6.5)	(12.0, 12.0)	(13.0, 18.5)	(14.0, 33.5)	(15.0, 57.0)	(16.0, 126.5)	(17.0, 304.0)	(18.0, 637.0)	(19.0, 1263.5)	(20.0, 2412.5)	(21.0, 4368.0)	(22.0, 7673.5)	(23.0, 12854.5)	(24.0, 19626.0)	(25.0, 29131.0)	(26.0, 42381.0)	(27.0, 58797.0)	(28.0, 78338.5)	(29.0, 101117.5)	(30.0, 127655.0)	(31.0, 158124.0)	(32.0, 191232.0)	(33.0, 226157.0)	(34.0, 263751.5)	(35.0, 305273.5)	(36.0, 351178.0)	(37.0, 399503.0)	(38.0, 444290.5)	(39.0, 487853.5)	(40.0, 521862.5)	(41.0, 550834.0)	(42.0, 587066.0)	(43.0, 622475.5)	(44.0, 642195.0)	(45.0, 652284.5)	(46.0, 658941.0)	(47.0, 657462.5)	(48.0, 652603.0)	(49.0, 648449.0)	(50.0, 651995.0)	(51.0, 655219.5)	(52.0, 652355.0)	(53.0, 642494.5)	(54.0, 629325.0)	(55.0, 619703.0)	(56.0, 596010.0)	(57.0, 564246.0)	(58.0, 544262.5)	(59.0, 531594.5)	(60.0, 515520.0)	(61.0, 486951.5)	(62.0, 450367.0)	(63.0, 412251.5)	(64.0, 377277.5)	(65.0, 340633.0)	(66.0, 302432.0)	(67.0, 267343.0)	(68.0, 232117.5)	(69.0, 196622.0)	(70.0, 165682.0)	(71.0, 141107.0)	(72.0, 122970.0)	(73.0, 105479.5)	(74.0, 90891.0)	(75.0, 80338.0)	(76.0, 67905.0)	(77.0, 57894.0)	(78.0, 50045.0)	(79.0, 41583.0)	(80.0, 33915.5)	(81.0, 27285.5)	(82.0, 21912.0)	(83.0, 17637.5)	(84.0, 13455.0)	(85.0, 9972.5)	(86.0, 7390.0)	(87.0, 5400.5)	(88.0, 3956.5)	(89.0, 2869.5)	(90.0, 2061.0)	(91.0, 1547.0)	(92.0, 1130.5)	(93.0, 944.5)	(94.0, 916.0)	(95.0, 932.0)	(96.0, 1043.5)	(97.0, 1440.0)	(98.0, 2155.0)	(99.0, 3696.0)	(100.0, 12383.0)
