Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
SRR33705621_1	(16.0, 4.0)	(17.0, 136.0)	(18.0, 1392.0)	(19.0, 4924.0)	(20.0, 10996.0)	(21.0, 16316.0)	(22.0, 19548.0)	(23.0, 21683.0)	(24.0, 24900.0)	(25.0, 27960.0)	(26.0, 32007.0)	(27.0, 35442.0)	(28.0, 42707.0)	(29.0, 49970.0)	(30.0, 60559.0)	(31.0, 72996.0)	(32.0, 95837.0)	(33.0, 126801.0)	(34.0, 176875.0)	(35.0, 265039.0)	(36.0, 457445.0)	(37.0, 842108.0)	(38.0, 2176993.0)	(39.0, 13588059.0)	(40.0, 4446535.0)				
SRR33705621_2	(13.0, 3.0)	(14.0, 41.0)	(15.0, 497.0)	(16.0, 3407.0)	(17.0, 11354.0)	(18.0, 21169.0)	(19.0, 26678.0)	(20.0, 30891.0)	(21.0, 30210.0)	(22.0, 29279.0)	(23.0, 29096.0)	(24.0, 31606.0)	(25.0, 34389.0)	(26.0, 37291.0)	(27.0, 39888.0)	(28.0, 46115.0)	(29.0, 52693.0)	(30.0, 61732.0)	(31.0, 71846.0)	(32.0, 91151.0)	(33.0, 117392.0)	(34.0, 163265.0)	(35.0, 241392.0)	(36.0, 423953.0)	(37.0, 814501.0)	(38.0, 2195460.0)	(39.0, 13575855.0)	(40.0, 4416078.0)	
SRR33705622_1	(15.0, 1.0)	(16.0, 3.0)	(17.0, 133.0)	(18.0, 1154.0)	(19.0, 4548.0)	(20.0, 10479.0)	(21.0, 16323.0)	(22.0, 19810.0)	(23.0, 21887.0)	(24.0, 25438.0)	(25.0, 28597.0)	(26.0, 32651.0)	(27.0, 36079.0)	(28.0, 42343.0)	(29.0, 50305.0)	(30.0, 60350.0)	(31.0, 73478.0)	(32.0, 96563.0)	(33.0, 126443.0)	(34.0, 174322.0)	(35.0, 257830.0)	(36.0, 441009.0)	(37.0, 796686.0)	(38.0, 2025992.0)	(39.0, 12791670.0)	(40.0, 4768400.0)			
SRR33705622_2	(13.0, 3.0)	(14.0, 45.0)	(15.0, 556.0)	(16.0, 3651.0)	(17.0, 12155.0)	(18.0, 22398.0)	(19.0, 27740.0)	(20.0, 32145.0)	(21.0, 31366.0)	(22.0, 30545.0)	(23.0, 30149.0)	(24.0, 32596.0)	(25.0, 35434.0)	(26.0, 39000.0)	(27.0, 41405.0)	(28.0, 48414.0)	(29.0, 54928.0)	(30.0, 63727.0)	(31.0, 74234.0)	(32.0, 93003.0)	(33.0, 119710.0)	(34.0, 163856.0)	(35.0, 241173.0)	(36.0, 417917.0)	(37.0, 793419.0)	(38.0, 2098079.0)	(39.0, 13044119.0)	(40.0, 4350727.0)	
SRR33705623_1	(16.0, 11.0)	(17.0, 177.0)	(18.0, 1564.0)	(19.0, 5880.0)	(20.0, 13119.0)	(21.0, 19371.0)	(22.0, 23253.0)	(23.0, 25301.0)	(24.0, 29436.0)	(25.0, 32830.0)	(26.0, 37552.0)	(27.0, 41681.0)	(28.0, 49657.0)	(29.0, 58790.0)	(30.0, 70797.0)	(31.0, 84366.0)	(32.0, 110510.0)	(33.0, 145053.0)	(34.0, 202375.0)	(35.0, 295660.0)	(36.0, 499516.0)	(37.0, 890480.0)	(38.0, 2204320.0)	(39.0, 13383805.0)	(40.0, 4930393.0)				
SRR33705623_2	(12.0, 1.0)	(13.0, 10.0)	(14.0, 101.0)	(15.0, 687.0)	(16.0, 4349.0)	(17.0, 13389.0)	(18.0, 23814.0)	(19.0, 29446.0)	(20.0, 34238.0)	(21.0, 33533.0)	(22.0, 32050.0)	(23.0, 32346.0)	(24.0, 35397.0)	(25.0, 38016.0)	(26.0, 41995.0)	(27.0, 45550.0)	(28.0, 53205.0)	(29.0, 61364.0)	(30.0, 72059.0)	(31.0, 85405.0)	(32.0, 108636.0)	(33.0, 140546.0)	(34.0, 193877.0)	(35.0, 285315.0)	(36.0, 487862.0)	(37.0, 914951.0)	(38.0, 2360363.0)	(39.0, 13443900.0)	(40.0, 4583492.0)
SRR33705624_1	(16.0, 5.0)	(17.0, 109.0)	(18.0, 1379.0)	(19.0, 5005.0)	(20.0, 11009.0)	(21.0, 16677.0)	(22.0, 19962.0)	(23.0, 21881.0)	(24.0, 25321.0)	(25.0, 28590.0)	(26.0, 32415.0)	(27.0, 36405.0)	(28.0, 43300.0)	(29.0, 51707.0)	(30.0, 62544.0)	(31.0, 75527.0)	(32.0, 103192.0)	(33.0, 139474.0)	(34.0, 187315.0)	(35.0, 269409.0)	(36.0, 456477.0)	(37.0, 826058.0)	(38.0, 2131128.0)	(39.0, 13804810.0)	(40.0, 4657390.0)				
SRR33705624_2	(13.0, 2.0)	(14.0, 14.0)	(15.0, 271.0)	(16.0, 2129.0)	(17.0, 8061.0)	(18.0, 16847.0)	(19.0, 23093.0)	(20.0, 27406.0)	(21.0, 27558.0)	(22.0, 26604.0)	(23.0, 26879.0)	(24.0, 29485.0)	(25.0, 32338.0)	(26.0, 35506.0)	(27.0, 38824.0)	(28.0, 45078.0)	(29.0, 51319.0)	(30.0, 61467.0)	(31.0, 71530.0)	(32.0, 91673.0)	(33.0, 119189.0)	(34.0, 162618.0)	(35.0, 237539.0)	(36.0, 412959.0)	(37.0, 782593.0)	(38.0, 2112923.0)	(39.0, 13864659.0)	(40.0, 4698525.0)	
SRR33705625_1	(16.0, 1.0)	(17.0, 102.0)	(18.0, 1029.0)	(19.0, 4209.0)	(20.0, 10218.0)	(21.0, 15792.0)	(22.0, 19530.0)	(23.0, 21674.0)	(24.0, 25295.0)	(25.0, 28796.0)	(26.0, 32588.0)	(27.0, 36730.0)	(28.0, 43981.0)	(29.0, 51861.0)	(30.0, 62739.0)	(31.0, 75662.0)	(32.0, 99470.0)	(33.0, 132031.0)	(34.0, 184034.0)	(35.0, 275929.0)	(36.0, 477061.0)	(37.0, 877786.0)	(38.0, 2234260.0)	(39.0, 12024633.0)	(40.0, 3547581.0)				
SRR33705625_2	(13.0, 6.0)	(14.0, 55.0)	(15.0, 485.0)	(16.0, 3007.0)	(17.0, 10564.0)	(18.0, 20698.0)	(19.0, 27539.0)	(20.0, 33209.0)	(21.0, 33371.0)	(22.0, 32060.0)	(23.0, 31896.0)	(24.0, 35134.0)	(25.0, 38498.0)	(26.0, 42727.0)	(27.0, 45775.0)	(28.0, 53829.0)	(29.0, 62675.0)	(30.0, 73263.0)	(31.0, 86067.0)	(32.0, 108980.0)	(33.0, 141614.0)	(34.0, 197164.0)	(35.0, 289653.0)	(36.0, 502130.0)	(37.0, 951952.0)	(38.0, 2453530.0)	(39.0, 11813692.0)	(40.0, 3193419.0)	
