Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR33705621_1	(1.0, 35.83282671468888)	(2.0, 15.224474414658577)	(3.0, 7.826655303913611)	(4.0, 4.913137846909947)	(5.0, 3.573659039542602)	(6.0, 2.5414937130705426)	(7.0, 1.992871118741406)	(8.0, 1.5608188254692004)	(9.0, 1.3727027021320173)	('>10', 14.00809424686789)	('>50', 3.5893441933607355)	('>100', 5.332988097961899)	('>500', 1.1047648579098548)	('>1k', 1.0387375580323222)	('>5k', 0.08743136674066719)	('>10k+', 0.0)
SRR33705621_2	(1.0, 36.238840836182895)	(2.0, 15.279573362756677)	(3.0, 7.905773185061958)	(4.0, 4.904881278852309)	(5.0, 3.4802924286476773)	(6.0, 2.45019253364197)	(7.0, 1.9365854169196117)	(8.0, 1.6136191658112957)	(9.0, 1.3767183077078038)	('>10', 13.656719434729542)	('>50', 3.4514718285812998)	('>100', 5.308982943204031)	('>500', 1.078798411302227)	('>1k', 1.0095443214388848)	('>5k', 0.08802123665495659)	('>10k+', 0.2199853085068541)
SRR33705622_1	(1.0, 35.62584643387983)	(2.0, 15.492413135273411)	(3.0, 8.198078809635133)	(4.0, 5.065622368050887)	(5.0, 3.44608533224741)	(6.0, 2.5890854941843497)	(7.0, 1.9958217496060895)	(8.0, 1.668433307217261)	(9.0, 1.3663531515049097)	('>10', 13.82809442678575)	('>50', 3.46669889942058)	('>100', 5.176226372270068)	('>500', 1.0521345630711554)	('>1k', 0.994950046670205)	('>5k', 0.03415591018319732)	('>10k+', 0.0)
SRR33705622_2	(1.0, 36.49355745777993)	(2.0, 15.537822722693933)	(3.0, 7.973159321917745)	(4.0, 4.903053333357899)	(5.0, 3.334775594648618)	(6.0, 2.560937942148259)	(7.0, 1.9933155933809534)	(8.0, 1.5545987705357251)	(9.0, 1.3800753655885682)	('>10', 13.577564304775006)	('>50', 3.389867842228026)	('>100', 5.01120502261356)	('>500', 1.0132119122608447)	('>1k', 0.9820120251644493)	('>5k', 0.05811700474881445)	('>10k+', 0.23672578615774814)
SRR33705623_1	(1.0, 34.48369804948393)	(2.0, 15.479054684324876)	(3.0, 8.2119348020039)	(4.0, 5.085878354169214)	(5.0, 3.5118225560834175)	(6.0, 2.587492751839916)	(7.0, 2.1339092667152806)	(8.0, 1.671349440278155)	(9.0, 1.3341394011047285)	('>10', 14.42092010823355)	('>50', 3.7500919269579187)	('>100', 5.222959823226785)	('>500', 1.0771638572230364)	('>1k', 0.9270906160778535)	('>5k', 0.10249436227753964)	('>10k+', 0.0)
SRR33705623_2	(1.0, 35.411302040776924)	(2.0, 15.53072928259644)	(3.0, 8.101812930229782)	(4.0, 5.136545362955031)	(5.0, 3.4493080128812794)	(6.0, 2.6134438089716436)	(7.0, 2.016116337164836)	(8.0, 1.6339896221312304)	(9.0, 1.3099766733928573)	('>10', 13.92118769301532)	('>50', 3.653841924172526)	('>100', 5.064718641789507)	('>500', 1.0012265612455673)	('>1k', 0.8572133034758421)	('>5k', 0.12841567193117942)	('>10k+', 0.17017213327005332)
SRR33705624_1	(1.0, 37.21322334827582)	(2.0, 14.48502957276685)	(3.0, 7.487866365025002)	(4.0, 4.626348429283242)	(5.0, 3.367970264102692)	(6.0, 2.4478519519850646)	(7.0, 1.9021675905613302)	(8.0, 1.604837111695127)	(9.0, 1.3349342150948147)	('>10', 14.006060259490221)	('>50', 3.796901047306412)	('>100', 5.538159660751767)	('>500', 1.1111961483911657)	('>1k', 1.0011546744217508)	('>5k', 0.026693584517662204)	('>10k+', 0.049605776331127484)
SRR33705624_2	(1.0, 37.48952809631663)	(2.0, 14.374681518165232)	(3.0, 7.539433796623548)	(4.0, 4.727004819221457)	(5.0, 3.2218926135985737)	(6.0, 2.311380552066205)	(7.0, 1.9492047970856483)	(8.0, 1.6072850470381805)	(9.0, 1.2973407971188848)	('>10', 13.746572395999781)	('>50', 3.7993308942308817)	('>100', 5.562425277267246)	('>500', 1.1366395887783374)	('>1k', 1.0041711697482274)	('>5k', 0.026660699972646085)	('>10k+', 0.20644793676837334)
SRR33705625_1	(1.0, 36.87209527737103)	(2.0, 15.422647010998169)	(3.0, 8.116323112000197)	(4.0, 5.020236903683892)	(5.0, 3.379489904422059)	(6.0, 2.5973686630810966)	(7.0, 2.0508947084752243)	(8.0, 1.63723071691586)	(9.0, 1.3273390986950153)	('>10', 13.97637018344741)	('>50', 3.4711938253690384)	('>100', 4.609525224880396)	('>500', 0.8292957125484027)	('>1k', 0.6558193734148076)	('>5k', 0.03417028469742895)	('>10k+', 0.0)
SRR33705625_2	(1.0, 37.603356462390046)	(2.0, 15.372962715475957)	(3.0, 8.024936396945872)	(4.0, 4.94146116959756)	(5.0, 3.35122438985395)	(6.0, 2.5659801352782594)	(7.0, 1.997039615682471)	(8.0, 1.68901185258192)	(9.0, 1.4181703414027231)	('>10', 13.652331396192888)	('>50', 3.392907621437585)	('>100', 4.4119380058822)	('>500', 0.713343460526524)	('>1k', 0.6795198915027385)	('>5k', 0.032751484970182335)	('>10k+', 0.15306506027911185)
SRR33705626_1	(1.0, 35.53565565601301)	(2.0, 15.301881460862704)	(3.0, 8.093521578156048)	(4.0, 5.031687657574418)	(5.0, 3.3790425557171164)	(6.0, 2.5609594148308323)	(7.0, 2.0727080512906766)	(8.0, 1.7025523069065969)	(9.0, 1.363333345070769)	('>10', 14.298248736940247)	('>50', 3.707226159034559)	('>100', 5.027031374784208)	('>500', 0.9917655543738378)	('>1k', 0.8966450588720236)	('>5k', 0.03774108957289336)	('>10k+', 0.0)
SRR33705626_2	(1.0, 36.392750315001166)	(2.0, 15.217383246483235)	(3.0, 7.978633394681426)	(4.0, 4.868723053430811)	(5.0, 3.4536782047296244)	(6.0, 2.526571959564942)	(7.0, 2.0316407826888105)	(8.0, 1.5832916618171013)	(9.0, 1.370666840453193)	('>10', 14.005386500652447)	('>50', 3.664451238360537)	('>100', 4.920190242489038)	('>500', 0.9115590715496857)	('>1k', 0.8350723730179852)	('>5k', 0.0347050409870919)	('>10k+', 0.20529607409288023)
