Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR33705621_1	50.07578411718684	47.0	151.0	151	27.27272727272727	22.597231999999998
SRR33705621_2	49.67584283935379	47.0	151.0	151	18.181818181818183	22.597231999999998
SRR33705622_1	50.005863102843975	47.0	151.0	151	27.27272727272727	21.902493999999997
SRR33705622_2	49.290222707718975	47.0	151.0	151	18.181818181818183	21.902493999999997
SRR33705623_1	51.08488367039599	47.0	151.0	151	18.181818181818183	23.155897
SRR33705623_2	50.210990575369934	47.0	151.0	151	27.27272727272727	23.155897
SRR33705624_1	49.328779475058525	49.0	151.0	151	18.181818181818183	23.007089
SRR33705624_2	49.12318826470534	49.0	151.0	151	18.181818181818183	23.007089
SRR33705625_1	48.839347670136156	50.0	151.0	151	18.181818181818183	20.282992
SRR33705625_2	48.205429375244655	50.0	151.0	151	18.181818181818183	20.282992
SRR33705626_1	50.212361159952465	49.0	151.0	151	18.181818181818183	21.808070999999998
SRR33705626_2	49.505631449595576	49.0	151.0	151	18.181818181818183	21.808070999999998
